"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:52:37:710PM)"
"U.S. Direct Investment Abroad,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Israel",105                     ,104                     ,133                     ,71                      ,106                     ,84                      ,97                      ,106                     ,132                     ,115                     ,221                     ,259                     ,227                     ,246                     ,209                     ,200                     ,247                     ,352                     ,472                     ,126                     ,312                     ,484                     ,546                     ,581                     ,850                     ,645                     ,260                     ,81                      ,689                     ,575                     ,638                     ,264                     ,518                     
"  Saudi Arabia",804                     ,641                     ,523                     ,277                     ,324                     ,378                     ,479                     ,370                     ,454                     ,472                     ,256                     ,249                     ,314                     ,619                     ,383                     ,327                     ,351                     ,332                     ,292                     ,194                     ,195                     ,599                     ,1476                   ,1593                   ,1644                   ,2377                   ,2248                   ,1337                   ,1363                   ,1786                   ,1664                   ,1656                   ,1813                   
"  United Arab Emirates",221                     ,192                     ,182                     ,137                     ,74                      ,160                     ,103                     ,93                      ,133                     ,140                     ,259                     ,124                     ,175                     ,181                     ,190                     ,194                     ,94                      ,74                      ,276                     ,180                     ,202                     ,241                     ,341                     ,400                     ,399                     ,415                     ,415                     ,589                     ,748                     ,1108                   ,1508                   ,1808                   ,2266                   
"  Other",135                     ,65                      ,23                      ,-78                     ,-351                    ,-65                     ,146                     ,77                      ,352                     ,251                     ,291                     ,244                     ,306                     ,327                     ,630                     ,619                     ,329                     ,576                     ,1232                   ,1046                   ,1181                   ,1315                   ,1890                   ,2535                   ,3150                   ,4254                   ,5894                   ,2925                   ,6158                   ,11970                  ,11549                  ,12055                  ,10399                  
"Asia and Pacific",4672                   ,5202                   ,6202                   ,5016                   ,5014                   ,7071                   ,8930                   ,8973                   ,9677                   ,9316                   ,11483                  ,12117                  ,13218                  ,18146                  ,18795                  ,20009                  ,12380                  ,19707                  ,27861                  ,23564                  ,26498                  ,32621                  ,44053                  ,56688                  ,60086                  ,66347                  ,65517                  ,58615                  ,72545                  ,77158                  ,73749                  ,75000                  ,75638                  
"  Australia",635                     ,715                     ,1167                   ,856                     ,543                     ,1096                   ,1945                   ,2006                   ,1888                   ,749                     ,2234                   ,2271                   ,2383                   ,2769                   ,2851                   ,3674                   ,1908                   ,2397                   ,3415                   ,1503                   ,2037                   ,3406                   ,5227                   ,6269                   ,6596                   ,7840                   ,8588                   ,5543                   ,10180                  ,11411                  ,14780                  ,12869                  ,9177                   
"  China",-3                      ,-46                     ,-91                     ,-87                     ,-61                     ,-72                     ,-36                     ,-56                     ,-20                     ,-12                     ,2                       ,128                     ,68                      ,200                     ,567                     ,799                     ,332                     ,755                     ,1211                   ,1590                   ,1689                   ,2275                   ,3417                   ,3768                   ,5109                   ,5772                   ,7513                   ,6994                   ,8890                   ,8938                   ,5995                   ,9427                   ,11194                  
"  Hong Kong",638                     ,660                     ,637                     ,543                     ,682                     ,1087                   ,1058                   ,1282                   ,1200                   ,1540                   ,1855                   ,2120                   ,2058                   ,2310                   ,2221                   ,2336                   ,1701                   ,3170                   ,5163                   ,4897                   ,3906                   ,3718                   ,4822                   ,5056                   ,8130                   ,7681                   ,5659                   ,6526                   ,6034                   ,5125                   ,4848                   ,5032                   ,5540                   
"  India",60                      ,62                      ,63                      ,63                      ,80                      ,81                      ,90                      ,61                      ,78                      ,58                      ,66                      ,72                      ,119                     ,132                     ,94                      ,-8                      ,-7                      ,7                       ,220                     ,133                     ,344                     ,489                     ,1035                   ,1185                   ,1696                   ,2269                   ,2342                   ,2706                   ,3174                   ,3199                   ,3508                   ,2934                   ,3079                   
"  Indonesia",1734                   ,1658                   ,1985                   ,1434                   ,667                     ,944                     ,859                     ,1057                   ,1886                   ,1785                   ,1509                   ,1262                   ,1223                   ,1572                   ,1969                   ,1765                   ,1106                   ,1688                   ,1659                   ,1420                   ,1130                   ,1356                   ,1610                   ,2319                   ,3106                   ,3281                   ,3473                   ,3235                   ,4219                   ,4498                   ,2973                   ,2411                   ,2265                   
"  Japan",601                     ,863                     ,870                     ,823                     ,1788                   ,2026                   ,2621                   ,2070                   ,1722                   ,2293                   ,1979                   ,1801                   ,1972                   ,4091                   ,3475                   ,3511                   ,2010                   ,4146                   ,5988                   ,4892                   ,7146                   ,8103                   ,9527                   ,10803                  ,7627                   ,7862                   ,7491                   ,12810                  ,8990                   ,9706                   ,9646                   ,9667                   ,10671                  
"  Korea, Republic of",69                      ,59                      ,174                     ,181                     ,109                     ,132                     ,196                     ,245                     ,269                     ,70                      ,143                     ,266                     ,477                     ,773                     ,926                     ,528                     ,701                     ,1134                   ,1324                   ,1114                   ,1455                   ,1486                   ,2078                   ,2588                   ,3154                   ,3257                   ,3343                   ,3459                   ,4330                   ,3919                   ,3286                   ,2509                   ,2382                   
"  Malaysia",270                     ,372                     ,377                     ,324                     ,125                     ,227                     ,380                     ,231                     ,469                     ,505                     ,666                     ,699                     ,771                     ,1103                   ,1244                   ,1333                   ,243                     ,1193                   ,1550                   ,1415                   ,1453                   ,1758                   ,2182                   ,2721                   ,2772                   ,3148                   ,3843                   ,2496                   ,3084                   ,3041                   ,2280                   ,2798                   ,2575                   
"  New Zealand",39                      ,49                      ,44                      ,65                      ,81                      ,105                     ,88                      ,87                      ,78                      ,130                     ,210                     ,186                     ,466                     ,607                     ,628                     ,700                     ,338                     ,347                     ,258                     ,255                     ,156                     ,454                     ,149                     ,640                     ,508                     ,370                     ,315                     ,356                     ,415                     ,691                     ,641                     ,422                     ,421                     
"  Philippines",27                      ,76                      ,129                     ,103                     ,168                     ,146                     ,206                     ,270                     ,227                     ,232                     ,369                     ,407                     ,421                     ,543                     ,551                     ,551                     ,473                     ,466                     ,461                     ,377                     ,692                     ,722                     ,976                     ,702                     ,887                     ,979                     ,454                     ,462                     ,688                     ,688                     ,592                     ,835                     ,742                     
"  Singapore",473                     ,524                     ,524                     ,402                     ,519                     ,729                     ,825                     ,727                     ,1127                   ,1138                   ,1539                   ,1932                   ,2135                   ,2466                   ,2751                   ,3465                   ,1771                   ,2604                   ,4045                   ,3334                   ,4438                   ,5987                   ,8619                   ,15809                  ,15563                  ,19045                  ,17195                  ,10298                  ,16137                  ,21437                  ,21319                  ,22462                  ,24108                  
"  Taiwan",126                     ,157                     ,193                     ,107                     ,107                     ,318                     ,344                     ,443                     ,341                     ,414                     ,411                     ,422                     ,465                     ,700                     ,617                     ,660                     ,787                     ,1066                   ,1368                   ,1240                   ,1107                   ,1329                   ,1809                   ,2120                   ,2065                   ,1976                   ,2127                   ,1258                   ,2125                   ,1968                   ,1706                   ,1236                   ,1403                   
"  Thailand",-29                     ,19                      ,95                      ,154                     ,154                     ,179                     ,296                     ,471                     ,358                     ,408                     ,435                     ,462                     ,674                     ,823                     ,805                     ,576                     ,1065                   ,718                     ,945                     ,919                     ,789                     ,1123                   ,1805                   ,1874                   ,1999                   ,2006                   ,2011                   ,1905                   ,3592                   ,1681                   ,1491                   ,1547                   ,1132                   
"  Other",33                      ,34                      ,36                      ,47                      ,51                      ,74                      ,57                      ,78                      ,54                      ,8                       ,65                      ,88                      ,-14                     ,58                      ,95                      ,121                     ,-48                     ,17                      ,252                     ,476                     ,155                     ,415                     ,796                     ,835                     ,875                     ,862                     ,1164                   ,569                     ,688                     ,856                     ,685                     ,851                     ,948                     
"International",1072                   ,966                     ,542                     ,287                     ,-182                    ,-110                    ,97                      ,154                     ,230                     ,487                     ,284                     ,269                     ,115                     ,167                     ,278                     ,416                     ,561                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Eastern Europe","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",13                      ,-11                     ,-40                     ,-126                    ,-102                    ,-322                    ,-20                     ,268                     ,519                     ,179                     ,636                     ,1367                   ,1189                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  European Union",7092                   ,9494                   ,10304                  ,11414                  ,14365                  ,18321                  ,22800                  ,22390                  ,26522                  ,23164                  ,18103                  ,21332                  ,24891                  ,35699                  ,38153                  ,41287                  ,43201                  ,49528                  ,57201                  ,44167                  ,50938                  ,69668                  ,95473                  ,114883                 ,131011                 ,147889                 ,159783                 ,151558                 ,182795                 ,183803                 ,192053                 ,200039                 ,209144                 
"  OPEC",3474                   ,2830                   ,3366                   ,2485                   ,1858                   ,1965                   ,1875                   ,1835                   ,2853                   ,3294                   ,3224                   ,2749                   ,2701                   ,3966                   ,4220                   ,4073                   ,2682                   ,3736                   ,4748                   ,3723                   ,3086                   ,4426                   ,7508                   ,8914                   ,12965                  ,12157                  ,16472                  ,8646                   ,10958                  ,18146                  ,18115                  ,18712                  ,16388                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"1. The data appear on another line in this table."
"2. The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"3. The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> indicates a non-zero value between -$500,000 and +$500,000, or fewer than 50 employees, as appropriate."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Prior to 2006, income is presented net of U.S. and foreign withholding taxes. Beginning with 2006, income is presented gross of U.S. and foreign withholding taxes."
"The European Union (EU) includes an increasing number of member countries over time, and estimates for a specific period reflect the EU membership during that period. From 1982-1985, the member countries were collectively referred to as the European Communities and it included Belgium, Denmark, France, Germany (excluding the German Democratic Republic), Greece, Ireland, Italy, Luxembourg, Netherlands, and the United Kingdom. From 1986, it also includes Portugal and Spain. In 1992, the name European Union replaces European Communities. From 1995, it also includes Austria, Finland, and Sweden. From 2004, it also includes Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia. From 2007, it also includes Bulgaria and Romania. From 2013, it also includes Croatia."
"OPEC is the Organization of Petroleum Exporting Countries. Its members are Algeria, Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, the United Arab Emirates, and Venezuela. Prior to 1995, it included Gabon and prior to 1993, it included Ecuador. From 2007, it includes Angola.  In 2008, Ecuador reactivated its membership."
"Balance of payments transactions (and associated positions) between parents and affiliates are recorded against the country of the foreign affiliate with which the U.S. parent had a direct transaction, even if the transaction may reflect indirect claims on, liabilities to, or income from indirectly held affiliates in third countries.  For years prior to 1999, the ""<em>International</em>"" category consists of affiliates that have operations spanning more than one country and that are engaged in petroleum shipping, other water transportation, or offshore oil and gas drilling.  Beginning with the data for 1999, data for such affiliates are classified in the country of residence of the operator of the ship or equipment."
"The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys (or censuses) of direct investment, which usually are conducted once every five years."
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
"Source: U.S. Bureau of Economic Analysis"
