"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:49:04:500PM)"
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Other",965                     ,987                     ,938                     ,672                     ,1190                   ,689                     ,697                     ,644                     ,905                     ,1419                   ,1644                   ,1856                   ,2427                   ,2126                   ,2174                   ,2377                   ,2556                   ,2298                   ,2784                   ,3118                   ,3415                   ,4790                   ,6172                   ,7022                   ,7958                   ,10982                  ,13387                  ,13110                  ,12595                  ,12208                  ,13348                  ,15067                  ,16268                  
"Asia and Pacific",28282                  ,30916                  ,33405                  ,35294                  ,38472                  ,46925                  ,52206                  ,55805                  ,64718                  ,72219                  ,79962                  ,92671                  ,108528                 ,122711                 ,139548                 ,144815                 ,159678                 ,190621                 ,207125                 ,227418                 ,270086                 ,270830                 ,374754                 ,375689                 ,403637                 ,444101                 ,484796                 ,502826                 ,570111                 ,591657                 ,672777                 ,696447                 ,738786                 
"  Australia",9089                   ,9151                   ,9121                   ,9067                   ,9670                   ,11728                  ,13155                  ,14368                  ,15110                  ,16072                  ,16928                  ,19047                  ,20196                  ,24328                  ,30006                  ,28404                  ,31483                  ,35386                  ,34838                  ,27778                  ,39074                  ,48447                  ,"(D)",75669                  ,67632                  ,84331                  ,92668                  ,106212                 ,125421                 ,133000                 ,165106                 ,169917                 ,180315                 
"  China",49                      ,103                     ,215                     ,322                     ,183                     ,240                     ,346                     ,436                     ,354                     ,426                     ,563                     ,916                     ,2557                   ,2765                   ,3848                   ,5150                   ,6350                   ,9401                   ,11140                  ,12081                  ,10570                  ,11261                  ,17616                  ,19016                  ,26459                  ,29710                  ,53927                  ,54069                  ,58996                  ,53661                  ,54514                  ,59886                  ,65767                  
"  Hong Kong",2854                   ,3157                   ,3418                   ,3510                   ,4227                   ,4795                   ,5486                   ,5412                   ,6055                   ,6656                   ,8693                   ,10063                  ,11092                  ,11768                  ,14391                  ,17315                  ,17548                  ,22759                  ,27447                  ,32494                  ,40329                  ,36426                  ,32735                  ,36415                  ,39636                  ,40720                  ,40042                  ,50720                  ,41264                  ,46713                  ,56086                  ,60001                  ,66240                  
"  India",360                     ,358                     ,331                     ,381                     ,406                     ,407                     ,378                     ,"(D)",372                     ,415                     ,484                     ,599                     ,1030                   ,1105                   ,1344                   ,1563                   ,1592                   ,2390                   ,2379                   ,2496                   ,4232                   ,4868                   ,7658                   ,7162                   ,9746                   ,14622                  ,18354                  ,21752                  ,24666                  ,19000                  ,25413                  ,25036                  ,27963                  
"  Indonesia",2295                   ,2846                   ,4185                   ,4592                   ,3369                   ,3252                   ,3131                   ,2771                   ,3207                   ,3826                   ,4384                   ,4864                   ,6355                   ,6777                   ,8322                   ,6729                   ,8104                   ,8402                   ,8904                   ,10511                  ,"(D)","(D)","(D)",8603                   ,9484                   ,14978                  ,16273                  ,9743                   ,10558                  ,12046                  ,11441                  ,11250                  ,13536                  
"  Japan",6407                   ,7768                   ,8100                   ,9467                   ,11839                  ,16141                  ,18546                  ,19911                  ,22599                  ,25403                  ,26591                  ,31095                  ,34117                  ,37309                  ,34578                  ,33854                  ,41423                  ,55120                  ,57091                  ,55651                  ,66468                  ,57794                  ,71005                  ,81175                  ,84428                  ,85224                  ,99803                  ,91196                  ,113523                 ,120482                 ,125283                 ,120508                 ,108068                 
"  Korea, Republic of",690                     ,622                     ,776                     ,828                     ,897                     ,1318                   ,1647                   ,2370                   ,2695                   ,2900                   ,2912                   ,3427                   ,4334                   ,5557                   ,6508                   ,6467                   ,7365                   ,7474                   ,8968                   ,9977                   ,11856                  ,13063                  ,17747                  ,19760                  ,27299                  ,23558                  ,22426                  ,23930                  ,26233                  ,28172                  ,32202                  ,33036                  ,34896                  
"  Malaysia",1221                   ,1162                   ,1111                   ,1152                   ,1019                   ,962                     ,1158                   ,1263                   ,1466                   ,1774                   ,1596                   ,1975                   ,3148                   ,4237                   ,5663                   ,6530                   ,5629                   ,6222                   ,7910                   ,7489                   ,7101                   ,7057                   ,8909                   ,11097                  ,11185                  ,12140                  ,12243                  ,9740                   ,11791                  ,11627                  ,10898                  ,12959                  ,14357                  
"  New Zealand",644                     ,575                     ,510                     ,582                     ,607                     ,744                     ,842                     ,1062                   ,3156                   ,2949                   ,3314                   ,3064                   ,3893                   ,4601                   ,5940                   ,7160                   ,6021                   ,4852                   ,4271                   ,4273                   ,3926                   ,3859                   ,4620                   ,5191                   ,5933                   ,5527                   ,4451                   ,6141                   ,6724                   ,7930                   ,8476                   ,7646                   ,7760                   
"  Philippines",1315                   ,1372                   ,1292                   ,1029                   ,1274                   ,1331                   ,1371                   ,1107                   ,1355                   ,1395                   ,1666                   ,1953                   ,2484                   ,2719                   ,3541                   ,3219                   ,3931                   ,3517                   ,3638                   ,5436                   ,5964                   ,6390                   ,6176                   ,6522                   ,6948                   ,6953                   ,5505                   ,4602                   ,5399                   ,4897                   ,3988                   ,4180                   ,5071                   
"  Singapore",1720                   ,1881                   ,2018                   ,2008                   ,2481                   ,2722                   ,2662                   ,2998                   ,3975                   ,5363                   ,6715                   ,8875                   ,10940                  ,12140                  ,14912                  ,18026                  ,17550                  ,20665                  ,24133                  ,40764                  ,50955                  ,51053                  ,61076                  ,76390                  ,81879                  ,93529                  ,83169                  ,87909                  ,102778                 ,119395                 ,145236                 ,159759                 ,179764                 
"  Taiwan",544                     ,644                     ,795                     ,845                     ,1003                   ,1531                   ,1831                   ,1968                   ,2226                   ,2666                   ,2827                   ,3113                   ,3775                   ,4293                   ,4476                   ,5007                   ,6295                   ,6744                   ,7836                   ,9301                   ,10144                  ,11983                  ,"(D)",14356                  ,16999                  ,15807                  ,18053                  ,19894                  ,22188                  ,16073                  ,17546                  ,16809                  ,17073                  
"  Thailand",780                     ,918                     ,1160                   ,1146                   ,1152                   ,1349                   ,1211                   ,1511                   ,1790                   ,2025                   ,2594                   ,2943                   ,3585                   ,4283                   ,5000                   ,4332                   ,5209                   ,5500                   ,5824                   ,6176                   ,7774                   ,6886                   ,7499                   ,10252                  ,10642                  ,10284                  ,9162                   ,9457                   ,12999                  ,11840                  ,10773                  ,9825                   ,11729                  
"  Other",313                     ,358                     ,375                     ,365                     ,345                     ,408                     ,441                     ,"(D)",356                     ,348                     ,696                     ,737                     ,1022                   ,830                     ,1019                   ,1058                   ,1177                   ,2190                   ,2746                   ,2990                   ,"(D)","(D)","(D)",4082                   ,5367                   ,6717                   ,8719                   ,7463                   ,7570                   ,6820                   ,5816                   ,5635                   ,6246                   
"International",5314                   ,5724                   ,5198                   ,5378                   ,4440                   ,3776                   ,3127                   ,2962                   ,2535                   ,2684                   ,3131                   ,3433                   ,4406                   ,3618                   ,4295                   ,3752                   ,2837                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Eastern Europe","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)",127                     ,307                     ,731                     ,2356                   ,4029                   ,5136                   ,6665                   ,6800                   ,8279                   ,14441                  ,14989                  ,16945                  ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  European Union",71712                  ,72036                  ,71867                  ,84416                  ,103135                 ,129455                 ,137120                 ,160988                 ,180491                 ,199361                 ,210164                 ,240414                 ,253242                 ,301345                 ,343944                 ,378375                 ,462584                 ,564037                 ,609674                 ,684161                 ,758172                 ,852110                 ,1029916               ,1078384               ,1256599               ,1525251               ,1626351               ,1773748               ,1834559               ,2040502               ,2206478               ,2402905               ,2514771               
"  OPEC",8081                   ,8528                   ,10526                  ,10434                  ,10296                  ,10179                  ,8904                   ,6217                   ,7145                   ,9729                   ,10692                  ,11737                  ,13794                  ,15546                  ,19923                  ,20890                  ,25950                  ,23479                  ,28545                  ,31070                  ,30374                  ,30968                  ,35137                  ,35720                  ,42365                  ,54538                  ,62989                  ,48620                  ,51499                  ,54053                  ,54410                  ,60221                  ,63545                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"1. The data appear on another line in this table."
"2. The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"3. The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> indicates a non-zero value between -$500,000 and +$500,000, or fewer than 50 employees, as appropriate."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Prior to 2006, income is presented net of U.S. and foreign withholding taxes. Beginning with 2006, income is presented gross of U.S. and foreign withholding taxes."
"The European Union (EU) includes an increasing number of member countries over time, and estimates for a specific period reflect the EU membership during that period. From 1982-1985, the member countries were collectively referred to as the European Communities and it included Belgium, Denmark, France, Germany (excluding the German Democratic Republic), Greece, Ireland, Italy, Luxembourg, Netherlands, and the United Kingdom. From 1986, it also includes Portugal and Spain. In 1992, the name European Union replaces European Communities. From 1995, it also includes Austria, Finland, and Sweden. From 2004, it also includes Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia. From 2007, it also includes Bulgaria and Romania. From 2013, it also includes Croatia."
"OPEC is the Organization of Petroleum Exporting Countries. Its members are Algeria, Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, the United Arab Emirates, and Venezuela. Prior to 1995, it included Gabon and prior to 1993, it included Ecuador. From 2007, it includes Angola.  In 2008, Ecuador reactivated its membership."
"Balance of payments transactions (and associated positions) between parents and affiliates are recorded against the country of the foreign affiliate with which the U.S. parent had a direct transaction, even if the transaction may reflect indirect claims on, liabilities to, or income from indirectly held affiliates in third countries.  For years prior to 1999, the ""<em>International</em>"" category consists of affiliates that have operations spanning more than one country and that are engaged in petroleum shipping, other water transportation, or offshore oil and gas drilling.  Beginning with the data for 1999, data for such affiliates are classified in the country of residence of the operator of the ship or equipment."
"The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys (or censuses) of direct investment, which usually are conducted once every five years."
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
"Source: U.S. Bureau of Economic Analysis"
