"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:51:35:050PM)"
"U.S. Direct Investment Abroad,Financial Outflow Transactions Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Egypt",139                     ,193                     ,114                     ,372                     ,-94                     ,-151                    ,-102                    ,42                      ,-292                    ,-28                     ,65                      ,-32                     ,46                      ,-1                      ,118                     ,259                     ,575                     ,-190                    ,-99                     ,578                     ,127                     ,470                     ,447                     ,1112                   ,54                      ,996                     ,1617                   ,1512                   ,1919                   ,2331                   ,2250                   ,1739                   ,2577                   
"  Nigeria",355                     ,-149                    ,118                     ,-339                    ,563                     ,239                     ,-57                     ,-214                    ,-423                    ,887                     ,-271                    ,187                     ,119                     ,61                      ,407                     ,375                     ,403                     ,-524                    ,137                     ,-192                    ,588                     ,173                     ,676                     ,-846                    ,144                     ,-596                    ,1772                   ,5170                   ,81                      ,157                     ,-221                    ,-430                    ,-774                    
"  South Africa",85                      ,-18                     ,36                      ,-81                     ,-18                     ,-97                     ,-142                    ,-375                    ,78                      ,110                     ,118                     ,72                      ,260                     ,289                     ,194                     ,1298                   ,-83                     ,1155                   ,346                     ,-86                     ,125                     ,232                     ,480                     ,82                      ,159                     ,1000                   ,306                     ,1088                   ,447                     ,639                     ,332                     ,520                     ,103                     
"  Other",93                      ,8                       ,163                     ,-25                     ,-619                    ,164                     ,-306                    ,-7                      ,186                     ,-894                    ,4                       ,610                     ,337                     ,3                       ,959                     ,1504                   ,2181                   ,155                     ,333                     ,2139                   ,-1418                  ,1823                   ,8                       ,2216                   ,4800                   ,3090                   ,142                     ,2646                   ,4995                   ,2213                   ,264                     ,-228                    ,2841                   
"Middle East",195                     ,1305                   ,518                     ,-81                     ,66                      ,157                     ,-321                    ,-473                    ,515                     ,521                     ,845                     ,775                     ,709                     ,879                     ,467                     ,619                     ,2092                   ,1000                   ,1375                   ,1397                   ,2559                   ,1315                   ,2538                   ,3785                   ,5699                   ,4070                   ,3716                   ,4025                   ,-305                    ,771                     ,7942                   ,3776                   ,6218                   
"  Israel",-102                    ,69                      ,123                     ,121                     ,-108                    ,162                     ,56                      ,-33                     ,-163                    ,94                      ,510                     ,260                     ,298                     ,340                     ,264                     ,25                      ,1236                   ,1442                   ,467                     ,1000                   ,202                     ,1263                   ,531                     ,3058                   ,2416                   ,554                     ,536                     ,-166                    ,185                     ,-253                    ,828                     ,-14                     ,384                     
"  Saudi Arabia",-89                     ,1025                   ,172                     ,43                      ,6                       ,98                      ,-406                    ,56                      ,494                     ,224                     ,45                      ,254                     ,83                      ,640                     ,-206                    ,332                     ,858                     ,-320                    ,395                     ,-319                    ,1505                   ,-1245                  ,-1007                  ,-209                    ,768                     ,560                     ,341                     ,2636                   ,-66                     ,807                     ,1690                   ,635                     ,729                     
"  United Arab Emirates",104                     ,196                     ,280                     ,-192                    ,89                      ,-74                     ,26                      ,-99                     ,14                      ,24                      ,73                      ,84                      ,-60                     ,164                     ,103                     ,55                      ,127                     ,-127                    ,94                      ,98                      ,400                     ,186                     ,1345                   ,-64                     ,1322                   ,255                     ,286                     ,326                     ,168                     ,751                     ,2044                   ,2003                   ,3929                   
"  Other",280                     ,15                      ,-56                     ,-53                     ,79                      ,-28                     ,2                       ,-399                    ,170                     ,180                     ,217                     ,177                     ,388                     ,-266                    ,305                     ,208                     ,-129                    ,4                       ,418                     ,618                     ,452                     ,1111                   ,1669                   ,1001                   ,1193                   ,2701                   ,2554                   ,1229                   ,-592                    ,-533                    ,3380                   ,1152                   ,1176                   
"Asia and Pacific",2362                   ,2857                   ,2097                   ,1161                   ,1687                   ,3537                   ,2703                   ,4375                   ,6783                   ,3854                   ,7391                   ,8895                   ,13437                  ,14342                  ,15363                  ,13733                  ,14715                  ,30831                  ,22449                  ,12927                  ,23277                  ,16592                  ,97013                  ,24426                  ,31556                  ,67500                  ,46821                  ,30635                  ,34895                  ,35564                  ,47491                  ,62066                  ,54296                  
"  Australia",166                     ,405                     ,217                     ,374                     ,-4                      ,1000                   ,865                     ,1997                   ,794                     ,1061                   ,1437                   ,1981                   ,552                     ,5537                   ,3787                   ,1209                   ,6284                   ,4868                   ,890                     ,-751                    ,8036                   ,7717                   ,"(D)","(D)",1473                   ,10122                  ,10158                  ,4453                   ,19877                  ,12154                  ,21729                  ,20625                  ,16594                  
"  China",23                      ,54                      ,109                     ,179                     ,-108                    ,120                     ,167                     ,100                     ,30                      ,40                      ,74                      ,556                     ,1232                   ,261                     ,933                     ,1250                   ,1497                   ,1947                   ,1817                   ,1912                   ,875                     ,1273                   ,4499                   ,1955                   ,4226                   ,5243                   ,15971                  ,-7512                  ,5420                   ,-1720                  ,-1223                  ,6596                   ,6333                   
"  Hong Kong",283                     ,421                     ,411                     ,69                      ,786                     ,371                     ,412                     ,465                     ,352                     ,474                     ,1914                   ,1366                   ,1979                   ,631                     ,1690                   ,3759                   ,1880                   ,4447                   ,4922                   ,4787                   ,1226                   ,-689                    ,"(D)",4688                   ,4174                   ,11533                  ,-325                    ,8729                   ,-21124                 ,136                     ,-2300                  ,6431                   ,5238                   
"  India",41                      ,5                       ,-9                      ,38                      ,39                      ,44                      ,-49                     ,"(D)","(D)",74                      ,52                      ,88                      ,250                     ,181                     ,262                     ,267                     ,80                      ,269                     ,92                      ,214                     ,919                     ,354                     ,1138                   ,721                     ,1834                   ,3915                   ,4310                   ,2470                   ,3069                   ,3083                   ,3785                   ,2272                   ,2623                   
"  Indonesia",1004                   ,538                     ,970                     ,245                     ,71                      ,-292                    ,-156                    ,-65                     ,691                     ,413                     ,806                     ,475                     ,2061                   ,519                     ,956                     ,21                      ,461                     ,505                     ,683                     ,985                     ,"(D)","(D)","(D)","(D)",771                     ,2925                   ,1750                   ,1000                   ,315                     ,1926                   ,2301                   ,18                      ,2577                   
"  Japan",306                     ,1078                   ,-188                    ,402                     ,464                     ,1223                   ,1114                   ,299                     ,984                     ,-203                    ,683                     ,1625                   ,1867                   ,2336                   ,-280                    ,-339                    ,6428                   ,10602                  ,4295                   ,-4731                  ,8711                   ,867                     ,12787                  ,5940                   ,2709                   ,15721                  ,-1656                  ,11138                  ,917                     ,2787                   ,943                     ,6829                   ,-7303                  
"  Korea, Republic of",-167                    ,-95                     ,151                     ,66                      ,88                      ,182                     ,152                     ,332                     ,330                     ,209                     ,-101                    ,293                     ,390                     ,1051                   ,752                     ,681                     ,631                     ,2557                   ,2338                   ,1206                   ,1681                   ,1231                   ,4340                   ,1687                   ,2518                   ,821                     ,2157                   ,3200                   ,2745                   ,3277                   ,1838                   ,2499                   ,2545                   
"  Malaysia",360                     ,-82                     ,-123                    ,37                      ,-107                    ,-60                     ,159                     ,50                      ,175                     ,270                     ,-129                    ,377                     ,553                     ,1037                   ,1298                   ,733                     ,-470                    ,-250                    ,1787                   ,17                      ,-609                    ,416                     ,"(D)",2040                   ,866                     ,2062                   ,819                     ,847                     ,2730                   ,450                     ,1230                   ,2397                   ,1719                   
"  New Zealand",87                      ,-27                     ,-41                     ,46                      ,37                      ,77                      ,123                     ,162                     ,2019                   ,-267                    ,392                     ,-443                    ,749                     ,765                     ,1142                   ,1530                   ,-2419                  ,-107                    ,-279                    ,155                     ,-398                    ,-60                     ,"(D)",446                     ,814                     ,67                      ,-906                    ,945                     ,499                     ,599                     ,613                     ,-547                    ,-39                     
"  Philippines",-9                      ,151                     ,-34                     ,-261                    ,19                      ,-46                     ,1                       ,49                      ,177                     ,"(*)",134                     ,369                     ,414                     ,269                     ,738                     ,107                     ,287                     ,-255                    ,480                     ,970                     ,-669                    ,-22                     ,555                     ,-126                    ,-165                    ,-2274                  ,19                      ,-203                    ,703                     ,228                     ,-63                     ,-103                    ,1016                   
"  Singapore",42                      ,139                     ,225                     ,-30                     ,290                     ,290                     ,-191                    ,165                     ,620                     ,1067                   ,1282                   ,1743                   ,1836                   ,947                     ,2760                   ,3697                   ,261                     ,3863                   ,3688                   ,5593                   ,530                     ,5446                   ,"(D)",3206                   ,8035                   ,14003                  ,8572                   ,4880                   ,15501                  ,12500                  ,15763                  ,16200                  ,19435                  
"  Taiwan",66                      ,101                     ,126                     ,39                      ,119                     ,370                     ,233                     ,177                     ,222                     ,479                     ,108                     ,173                     ,711                     ,419                     ,290                     ,702                     ,-647                    ,1010                   ,951                     ,1027                   ,634                     ,859                     ,"(D)","(D)",2231                   ,1051                   ,4153                   ,462                     ,1435                   ,-512                    ,1227                   ,84                      ,1017                   
"  Thailand",99                      ,142                     ,266                     ,-36                     ,2                       ,184                     ,-150                    ,384                     ,316                     ,228                     ,516                     ,285                     ,703                     ,686                     ,849                     ,-16                     ,424                     ,1103                   ,722                     ,1286                   ,1433                   ,-627                    ,691                     ,789                     ,695                     ,1198                   ,-97                     ,1094                   ,2643                   ,1181                   ,1041                   ,-856                    ,1967                   
"  Other",62                      ,26                      ,19                      ,-7                      ,-8                      ,75                      ,24                      ,"(D)","(D)",10                      ,222                     ,6                       ,140                     ,-296                    ,188                     ,130                     ,18                      ,271                     ,63                      ,257                     ,"(D)","(D)","(D)","(D)",1376                   ,1113                   ,1895                   ,-869                    ,165                     ,-526                    ,607                     ,-377                    ,575                     
"International",149                     ,151                     ,-669                    ,201                     ,-520                    ,-425                    ,-577                    ,216                     ,-104                    ,152                     ,745                     ,348                     ,207                     ,-416                    ,1451                   ,482                     ,462                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Eastern Europe","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)","(D)",281                     ,482                     ,1609                   ,1444                   ,1112                   ,1508                   ,1330                   ,1797                   ,3315                   ,-717                    ,2537                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  European Union",2465                   ,4408                   ,5537                   ,6982                   ,7904                   ,10228                  ,9205                   ,23297                  ,4230                   ,17738                  ,15300                  ,37401                  ,29762                  ,48835                  ,36182                  ,46910                  ,75771                  ,97815                  ,70625                  ,57769                  ,70048                  ,70540                  ,120927                 ,-24717                 ,131258                 ,221335                 ,146399                 ,147657                 ,174904                 ,214516                 ,141152                 ,154089                 ,147685                 
"  OPEC",1605                   ,1292                   ,1665                   ,-331                    ,1357                   ,64                      ,-1133                  ,-535                    ,1277                   ,2706                   ,1465                   ,1476                   ,3575                   ,2379                   ,2884                   ,2411                   ,4323                   ,113                     ,5824                   ,2997                   ,4051                   ,-351                    ,2902                   ,1637                   ,7343                   ,7938                   ,8579                   ,13340                  ,3369                   ,4196                   ,6762                   ,4609                   ,5438                   
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"1. The data appear on another line in this table."
"2. The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"3. The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> indicates a non-zero value between -$500,000 and +$500,000, or fewer than 50 employees, as appropriate."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Prior to 2006, income is presented net of U.S. and foreign withholding taxes. Beginning with 2006, income is presented gross of U.S. and foreign withholding taxes."
"The European Union (EU) includes an increasing number of member countries over time, and estimates for a specific period reflect the EU membership during that period. From 1982-1985, the member countries were collectively referred to as the European Communities and it included Belgium, Denmark, France, Germany (excluding the German Democratic Republic), Greece, Ireland, Italy, Luxembourg, Netherlands, and the United Kingdom. From 1986, it also includes Portugal and Spain. In 1992, the name European Union replaces European Communities. From 1995, it also includes Austria, Finland, and Sweden. From 2004, it also includes Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia. From 2007, it also includes Bulgaria and Romania. From 2013, it also includes Croatia."
"OPEC is the Organization of Petroleum Exporting Countries. Its members are Algeria, Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, the United Arab Emirates, and Venezuela. Prior to 1995, it included Gabon and prior to 1993, it included Ecuador. From 2007, it includes Angola.  In 2008, Ecuador reactivated its membership."
"Balance of payments transactions (and associated positions) between parents and affiliates are recorded against the country of the foreign affiliate with which the U.S. parent had a direct transaction, even if the transaction may reflect indirect claims on, liabilities to, or income from indirectly held affiliates in third countries.  For years prior to 1999, the ""<em>International</em>"" category consists of affiliates that have operations spanning more than one country and that are engaged in petroleum shipping, other water transportation, or offshore oil and gas drilling.  Beginning with the data for 1999, data for such affiliates are classified in the country of residence of the operator of the ship or equipment."
"The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys (or censuses) of direct investment, which usually are conducted once every five years."
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
"Source: U.S. Bureau of Economic Analysis"
