"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:39:13:547PM)"
"Foreign Direct Investment in the U.S.,Foreign Direct Investment Position in the United States on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  India","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",227                     ,352                     ,629                     ,1497                   ,1438                   ,1671                   ,2820                   ,2555                   ,4102                   ,5323                   ,5896                   ,7757                   ,7823                   
"  Japan","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",34421                  ,51126                  ,67268                  ,83091                  ,95142                  ,97769                  ,100721                 ,98513                  ,104997                 ,116144                 ,125041                 ,134340                 ,153815                 ,159690                 ,149859                 ,147372                 ,157176                 ,174490                 ,189851                 ,204020                 ,222695                 ,234748                 ,238140                 ,255012                 ,274283                 ,307665                 ,350295                 ,372800                 
"  Korea, Republic of","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",198                     ,505                     ,-307                    ,-1009                  ,800                     ,106                     ,-71                     ,-73                     ,692                     ,-103                    ,644                     ,1355                   ,2691                   ,3110                   ,3011                   ,2932                   ,1409                   ,5270                   ,6077                   ,9459                   ,11939                  ,12859                  ,12969                  ,15746                  ,19860                  ,25194                  ,31800                  ,36056                  
"  Malaysia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",7                       ,42                      ,29                      ,56                      ,57                      ,86                      ,292                     ,464                     ,400                     ,481                     ,342                     ,190                     ,71                      ,310                     ,340                     ,336                     ,292                     ,327                     ,420                     ,488                     ,464                     ,450                     ,439                     ,338                     ,911                     ,651                     ,636                     ,809                     
"  New Zealand","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",263                     ,154                     ,166                     ,157                     ,92                      ,101                     ,123                     ,179                     ,149                     ,170                     ,191                     ,289                     ,425                     ,395                     ,426                     ,538                     ,642                     ,824                     ,690                     ,559                     ,908                     ,880                     ,767                     ,584                     ,1014                   ,1033                   ,1011                   ,1011                   
"  Philippines","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",73                      ,73                      ,82                      ,77                      ,63                      ,58                      ,50                      ,76                      ,75                      ,78                      ,99                      ,110                     ,101                     ,47                      ,27                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Singapore","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",391                     ,510                     ,934                     ,1289                   ,947                     ,771                     ,450                     ,1375                   ,1637                   ,1246                   ,2635                   ,1828                   ,1365                   ,5087                   ,1221                   ,1530                   ,2166                   ,1733                   ,3338                   ,6458                   ,12151                  ,25801                  ,20757                  ,21517                  ,16819                  ,19958                  ,19283                  ,20609                  
"  Taiwan","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",199                     ,329                     ,476                     ,836                     ,1098                   ,1267                   ,1618                   ,1574                   ,2142                   ,2133                   ,2858                   ,3194                   ,3021                   ,3174                   ,2520                   ,2571                   ,2888                   ,3209                   ,3731                   ,4064                   ,4465                   ,4462                   ,3885                   ,4642                   ,5004                   ,5465                   ,6563                   ,5676                   
"  Other","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",246                     ,186                     ,318                     ,398                     ,502                     ,473                     ,499                     ,597                     ,815                     ,705                     ,922                     ,828                     ,761                     ,566                     ,1067                   ,364                     ,457                     ,464                     ,548                     ,733                     ,694                     ,689                     ,1271                   ,1293                   ,1461                   ,1726                   ,3713                   ,3711                   
"Other Africa, Asia, and Pacific",450                     ,511                     ,634                     ,875                     ,1353                   ,1654                   ,1823                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  European Union","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",161061                 ,188342                 ,212361                 ,220874                 ,228959                 ,219307                 ,251473                 ,255379                 ,302193                 ,337463                 ,386802                 ,465567                 ,582006                 ,814033                 ,841929                 ,810307                 ,852394                 ,943074                 ,999276                 ,1165558               ,1247711               ,1289929               ,1340384               ,1457842               ,1507149               ,1614605               ,1661393               ,1723599               
"  OPEC",642                     ,3336                   ,4045                   ,4039                   ,4892                   ,4607                   ,4787                   ,4658                   ,6487                   ,8067                   ,4216                   ,3974                   ,5021                   ,4182                   ,4329                   ,3854                   ,4335                   ,4473                   ,1727                   ,1896                   ,4330                   ,7074                   ,7902                   ,8212                   ,8365                   ,9286                   ,10299                  ,12774                  ,12215                  ,12665                  ,11282                  ,14171                  ,15793                  ,15660                  ,16204                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"1. The data appear on another line in this table."
"2. The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"3. The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> indicates a non-zero value between -$500,000 and +$500,000, or fewer than 50 employees, as appropriate."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Prior to 2006, income is presented net of U.S. and foreign withholding taxes. Beginning with 2006, income is presented gross of U.S. and foreign withholding taxes."
"The European Union (EU) includes an increasing number of member countries over time, and estimates for a specific period reflect the EU membership during that period. From 1982-1985, the member countries were collectively referred to as the European Communities and it included Belgium, Denmark, France, Germany (excluding the German Democratic Republic), Greece, Ireland, Italy, Luxembourg, Netherlands, and the United Kingdom. From 1986, it also includes Portugal and Spain. In 1992, the name European Union replaces European Communities. From 1995, it also includes Austria, Finland, and Sweden. From 2004, it also includes Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia. From 2007, it also includes Bulgaria and Romania. From 2013, it also includes Croatia."
"OPEC is the Organization of Petroleum Exporting Countries. Its members are Algeria, Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, the United Arab Emirates, and Venezuela. Prior to 1995, it included Gabon and prior to 1993, it included Ecuador. From 2007, it includes Angola.  In 2008, Ecuador reactivated its membership."
"Data are classified by country of the <em>foreign parent</em> of the U.S. affiliate.  The foreign parent is the first person outside the United States in a U.S. affiliate's ownership chain that has a direct investment in the affiliate.  In addition to equity and debt investment from its foreign parent, a U.S. affiliate may receive loans from (or make loans to) foreign affiliates of the foreign parent (FAFPs).  The affiliate may also have interest and services transactions with foreign affiliates of the foreign parent.  The value of these loans and the interest and services transactions are included in these data and are classified by country of the FAFP."
"The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys (or censuses) of direct investment, which usually are conducted once every five years."
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
"Source: U.S. Bureau of Economic Analysis"
